# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: Example
# Creation date: 05/30/2018 19:54:55
# 
# 05/30/2018 19:54:55
# The parameters defined in the project are:
# ,P1 - H1 [mm],P2 - Y [mm],P3 - X [mm],P4 - R1 [mm],P5 - Volume [mm^3],P6 - Mass [kg],P7 - Mesh Metric STD,P8 - Mesh Metric AVG,P9 - Mesh Metric MAX,P10 - Mesh Metric MIN,P11 - Mesh Nodes,P12 - Mesh Elements,P13 - Equivalent Stress Average [MPa],P14 - Equivalent Stress Maximum [MPa],P15 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Average [mm],P17 - Total Deformation Maximum [mm],P18 - Total Deformation Minimum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18
DP 0,15,20,20,6,27178.539967061519,0.075284555708760414,0.061365133649776291,0.95861375708170549,0.98741806216178318,0.57379364150354051,10351,2114,5.802072668364012,30.426916367681969,0.022785324646296883,0.0077060332812958531,0.016469000027397852,0
# 
# A non parametric change occurred and invalidated design point results.
# 06/08/2018 14:43:26
# 
# 
# 06/08/2018 15:34:59
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P22 - X [mm],P21 - R1 [mm],P20 - H1_Upper [mm],P19 - H1_Lower [mm],P5 - Volume [mm^3],P6 - Mass [kg],P7 - Mesh Metric STD,P8 - Mesh Metric AVG,P9 - Mesh Metric MAX,P10 - Mesh Metric MIN,P11 - Mesh Nodes,P12 - Mesh Elements,P13 - Equivalent Stress Average [MPa],P14 - Equivalent Stress Maximum [MPa],P15 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Average [mm],P17 - Total Deformation Maximum [mm],P18 - Total Deformation Minimum [mm],P23 - Y [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P22,P21,P20,P19,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P23
DP 0,19.999999999999996,10,9,9,21992.016359304758,0.06091788531527418,0.10666352877467317,0.807687119882561,0.99970339023110155,0.28690524386495858,22197,13415,6.1932633085882252,38.353814888109696,0.03891159915154465,0.0085284350800126953,0.027990243722457574,0,17.5
# 
# A non parametric change occurred and invalidated design point results.
# 06/08/2018 15:40:05
# 
# 
# A non parametric change occurred and invalidated design point results.
# 06/08/2018 16:18:58
# 
# 
# 06/08/2018 16:37:48
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P23 - Body Sizing Element Size [mm],P5 - Volume [mm^3],P6 - Mass [kg],P7 - Mesh Metric STD,P8 - Mesh Metric AVG,P9 - Mesh Metric MAX,P10 - Mesh Metric MIN,P11 - Mesh Nodes,P12 - Mesh Elements,P13 - Equivalent Stress Average [MPa],P14 - Equivalent Stress Maximum [MPa],P15 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Average [mm],P17 - Total Deformation Maximum [mm],P18 - Total Deformation Minimum [mm],P22 - Y [mm],P21 - X [mm],P20 - R1 [mm],P19 - H1 [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P23,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P22,P21,P20,P19
DP 0,2,12394.159385936391,0.034331821499043805,0.041958713866281042,0.76485479451794491,0.92966837550619053,0.40689146564430478,18848,3244,43.959514386148619,325.19350452377023,0.0021899050261270235,0.27696824990065133,0.6296668717674494,0,20.000000000000004,74.999999999999986,12,2
# 
# A non parametric change occurred and invalidated design point results.
# 06/08/2018 16:49:22
# 
DP 0,5,12394.159385936391,0.034331821499043805,0.063307255475424568,0.62987329917419377,0.74931673737897109,0.37299676322242609,2160,273,19.113901579386209,127.50345101443931,0.0022464525046085489,0.107167093469149,0.25156675526985,0,20.000000000000004,74.999999999999986,12,2
# 
# A non parametric change occurred and invalidated design point results.
# 06/08/2018 16:55:14
# 
DP 0,2,12394.159385936391,0.034331821499043805,0.041958713866281042,0.76485479451794491,0.92966837550619053,0.40689146564430478,18848,3244,17.58380574643882,130.0773994048389,0.00087596200349483,0.11078729991408909,0.25186674845217444,0,20.000000000000004,74.999999999999986,12,2
DP 0,3,12394.159385936391,0.034331821499043805,0.058014774336998982,0.882971878349509,0.97324577762741848,0.53623193212001063,5408,712,18.19499248406839,132.79775020213506,0.0010091592468224452,0.11180358414486606,0.25182962886582971,0,20.000000000000004,74.999999999999986,12,2
# 
